2023-06-19 22:12:04,714 INFO    StreamThr :5008 [internal.py:wandb_internal():86] W&B internal server running at pid: 5008, started at: 2023-06-19 22:12:04.713009
2023-06-19 22:12:04,716 DEBUG   HandlerThread:5008 [handler.py:handle_request():144] handle_request: status
2023-06-19 22:12:04,785 INFO    WriterThread:5008 [datastore.py:open_for_write():85] open: C:\zdev_ds\mine\mlops-zoomcamp\cohorts\2023\02-experiment-tracking\homework-wandb\wandb\run-20230619_221204-agpmxil4\run-agpmxil4.wandb
2023-06-19 22:12:04,786 DEBUG   SenderThread:5008 [sender.py:send():369] send: header
2023-06-19 22:12:04,874 DEBUG   SenderThread:5008 [sender.py:send():369] send: run
2023-06-19 22:12:05,258 INFO    SenderThread:5008 [dir_watcher.py:__init__():211] watching files in: C:\zdev_ds\mine\mlops-zoomcamp\cohorts\2023\02-experiment-tracking\homework-wandb\wandb\run-20230619_221204-agpmxil4\files
2023-06-19 22:12:05,258 INFO    SenderThread:5008 [sender.py:_start_run_threads():1100] run started: agpmxil4 with start time 1687227124.778024
2023-06-19 22:12:05,258 DEBUG   SenderThread:5008 [sender.py:send_request():396] send_request: summary_record
2023-06-19 22:12:05,274 INFO    SenderThread:5008 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-06-19 22:12:05,285 DEBUG   HandlerThread:5008 [handler.py:handle_request():144] handle_request: check_version
2023-06-19 22:12:05,285 DEBUG   SenderThread:5008 [sender.py:send_request():396] send_request: check_version
2023-06-19 22:12:05,460 DEBUG   HandlerThread:5008 [handler.py:handle_request():144] handle_request: run_start
2023-06-19 22:12:05,484 DEBUG   HandlerThread:5008 [system_info.py:__init__():31] System info init
2023-06-19 22:12:05,484 DEBUG   HandlerThread:5008 [system_info.py:__init__():46] System info init done
2023-06-19 22:12:05,484 INFO    HandlerThread:5008 [system_monitor.py:start():181] Starting system monitor
2023-06-19 22:12:05,484 INFO    SystemMonitor:5008 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-19 22:12:05,484 INFO    HandlerThread:5008 [system_monitor.py:probe():201] Collecting system info
2023-06-19 22:12:05,484 INFO    SystemMonitor:5008 [interfaces.py:start():190] Started cpu monitoring
2023-06-19 22:12:05,484 DEBUG   HandlerThread:5008 [system_info.py:probe():195] Probing system
2023-06-19 22:12:05,484 INFO    SystemMonitor:5008 [interfaces.py:start():190] Started disk monitoring
2023-06-19 22:12:05,484 INFO    SystemMonitor:5008 [interfaces.py:start():190] Started memory monitoring
2023-06-19 22:12:05,512 INFO    SystemMonitor:5008 [interfaces.py:start():190] Started network monitoring
2023-06-19 22:12:05,529 DEBUG   HandlerThread:5008 [system_info.py:_probe_git():180] Probing git
2023-06-19 22:12:05,712 DEBUG   HandlerThread:5008 [system_info.py:_probe_git():188] Probing git done
2023-06-19 22:12:05,712 DEBUG   HandlerThread:5008 [system_info.py:probe():240] Probing system done
